soc_id,var_id,code,pref_name_for_society,title,category,description,name,climate_id,climate_code,climate_title
Aa1,EA113,2,!Kung,Societal rigidity,Ritual, Politics,Flexible, characterized as: egalitarian, achieved status distinctions, autocratic, democratic, federated or stateless political system, ease in residence and group changes, individualized or flexible religious rites.,Flexible,AnnualMeanTemperature,21.03514971,Mean value of monthly temperature across the year
Aa2,EA113,NA,Dorobo,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,19.01419744,Mean value of monthly temperature across the year
Aa3,EA113,NA,Nama,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,20.43585493,Mean value of monthly temperature across the year
Aa4,EA113,NA,Bergdama,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,22.66307586,Mean value of monthly temperature across the year
Aa5,EA113,2,Mbuti,Societal rigidity,Ritual, Politics,Flexible, characterized as: egalitarian, achieved status distinctions, autocratic, democratic, federated or stateless political system, ease in residence and group changes, individualized or flexible religious rites.,Flexible,AnnualMeanTemperature,21.41779959,Mean value of monthly temperature across the year
Aa6,EA113,NA,Sandawe,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,18.1173012,Mean value of monthly temperature across the year
Aa7,EA113,NA,Naron,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,21.93601527,Mean value of monthly temperature across the year
Aa8,EA113,NA,/Xam,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,15.6037793,Mean value of monthly temperature across the year
Aa9,EA113,NA,Hadza,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,19.36364443,Mean value of monthly temperature across the year
Ab1,EA113,NA,Herero,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,21.9947192,Mean value of monthly temperature across the year
Ab10,EA113,NA,Pondo Xhosa,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,19.17895521,Mean value of monthly temperature across the year
Ab11,EA113,NA,Xhosa Ngqika,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,17.09562177,Mean value of monthly temperature across the year
Ab12,EA113,1,Zulu,Societal rigidity,Ritual, Politics,Rigid, characterized as: non-egalitarian, ascriptive status distinctions, autocratic, hierarchical political system, fixed residence and group membership, central authority, fixed religious rites.,Rigid,AnnualMeanTemperature,16.45028857,Mean value of monthly temperature across the year
Ab13,EA113,NA,Tswana,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,18.42354332,Mean value of monthly temperature across the year
Ab14,EA113,1,Lovedu,Societal rigidity,Ritual, Politics,Rigid, characterized as: non-egalitarian, ascriptive status distinctions, autocratic, hierarchical political system, fixed residence and group membership, central authority, fixed religious rites.,Rigid,AnnualMeanTemperature,17.61973153,Mean value of monthly temperature across the year
Ab15,EA113,NA,Pedi,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,14.54028018,Mean value of monthly temperature across the year
Ab16,EA113,NA,Lenge,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,23.75917944,Mean value of monthly temperature across the year
Ab17,EA113,NA,Ndau,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,23.36566077,Mean value of monthly temperature across the year
Ab18,EA113,NA,Shona,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,18.61544463,Mean value of monthly temperature across the year
Ab19,EA113,NA,Ambo,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,21.76799113,Mean value of monthly temperature across the year
Ab2,EA113,NA,Swazi,Societal rigidity,Ritual, Politics,Missing data,Missing data,AnnualMeanTemperature,17.88512326,Mean value of monthly temperature across the year
